url,league_name,club
100765,Russian Premier League,Lokomotiv Moscow
244,Spanish Segunda División,Real Zaragoza
232,Belgian Jupiler Pro League,Standard de Liège
1881,Mexican Liga MX,U.N.A.M.
1919,English League Championship,Bristol City
121,English League Two,Crewe Alexandra
110093,Argentina Primera División,Independiente
347,Italian Serie A,Lecce
101146,Japanese J. League Division 1,Vissel Kobe
100888,Spain Primera Division,CD Leganés
110781,Mexican Liga MX,Club León
1940,English League Two,Mansfield Town
64,French Ligue 2,Racing Club de Lens
1793,English League Championship,Reading
10030,German 1. Bundesliga,SC Paderborn 07
254,Austrian Football Bundesliga,SK Rapid Wien
111109,International,Colombia
689,USA Major League Soccer,New York Red Bulls
1807,English League Championship,Sheffield Wednesday
1804,English League Two,Bradford City
1945,English League One,Bury
89,English League Championship,Charlton Athletic
1882,Mexican Liga MX,Deportivo Toluca
110832,Spain Primera Division,Granada CF
206,Italian Serie A,Hellas Verona
1871,Polish T-Mobile Ekstraklasa,Legia Warszawa
224,French Ligue 1,Nîmes Olympique
1861,Spanish Segunda División,UD Almería
112678,Mexican Liga MX,Atlético de San Luis
113134,Mexican Liga MX,FC Juárez
110144,Mexican Liga MX,Santos Laguna
1365,International,Turkey
1920,English League Two,Oldham Athletic
1356,International,Romania
467,Spain Primera Division,SD Eibar
1932,English League Championship,Barnsley
1935,English League Two,Colchester United
97,English League Championship,Millwall
110147,Mexican Liga MX,Pachuca
1801,English League Championship,Preston North End
503,German 2. Bundesliga,SG Dynamo Dresden
1377,International,Uruguay
111822,Austrian Football Bundesliga,Wolfsberger AC
62,French Ligue 2,En Avant de Guingamp
110329,German 2. Bundesliga,FC St. Pauli
1886,International,Hungary
1900,Portuguese Liga ZON SAGRES,Moreirense FC
1929,English League Two,Plymouth Argyle
480,Spanish Segunda División,Rayo Vallecano
1896,Portuguese Liga ZON SAGRES,SC Braga
266,Czech Republic Gambrinus Liga,SK Slavia Praha
379,French Ligue 1,Stade de Reims
1530,French Ligue 1,Angers SCO
900,Swiss Super League,BSC Young Boys
1353,International,Poland
112791,Italian Serie A,SPAL
267,Czech Republic Gambrinus Liga,Sparta Praha
111701,UAE Arabian Gulf League,Al Ain FC
110816,Romanian Liga I,CFR Cluj
1944,English League Two,Cambridge United
110569,French Ligue 1,Dijon FCO
68,French Ligue 1,FC Metz
873,Polish T-Mobile Ekstraklasa,Lech Poznań
1958,English League Two,Leyton Orient
393,Greek Super League,PAOK
112540,Chinese Super League,Shanghai SIPG FC
112828,USA Major League Soccer,New York City FC
111817,French Ligue 2,Paris FC
110532,German 3. Bundesliga,SV Waldhof Mannheim
561,English League Two,Forest Green Rovers
1917,English League Championship,Wigan Athletic
192,Italian Serie B,Chievo Verona
1331,International,Denmark
110704,Spanish Segunda División,FC Barcelona B
111239,German 3. Bundesliga,FC Ingolstadt 04
110150,Mexican Liga MX,Querétaro
378,French Ligue 1,Stade Brestois 29
110145,Mexican Liga MX,Tiburones Rojos de Veracruz
1887,Portuguese Liga ZON SAGRES,Vitória Guimarães
605,Saudi Abdul L. Jameel League,Al Hilal
101114,Mexican Liga MX,Club Atlas
111678,Mexican Liga MX,Club Tijuana
688,USA Major League Soccer,DC United
113149,USA Major League Soccer,FC Cincinnati
1923,English League Championship,Luton Town
456,Spanish Segunda División,Racing Santander
230,Belgian Jupiler Pro League,Royal Antwerp FC
1013,Argentina Primera División,San Lorenzo de Almagro
57,French Ligue 2,AJ Auxerre
1816,French Ligue 1,Amiens SC
1926,English League One,Blackpool
1800,English League One,Coventry City
111112,International,Côte d'Ivoire
1915,Holland Eredivisie,FC Groningen
819,Danish Superliga,FC København
217,French Ligue 2,FC Lorient
1889,Portuguese Liga ZON SAGRES,Os Belenenses
111144,USA Major League Soccer,Seattle Sounders FC
1909,Holland Eredivisie,Vitesse
111235,German 2. Bundesliga,1. FC Heidenheim 1846
1322,International,Austria
92,English League Two,Grimsby Town
112254,English League Two,Newport County
1938,English League One,Peterborough United
110839,Spanish Segunda División,SD Huesca
209,Austrian Football Bundesliga,SK Sturm Graz
160,German 2. Bundesliga,VfL Bochum 1848
1803,English League Two,Walsall
112026,Italian Serie B,Benevento
111459,International,Chile
1413,International,China PR
110980,Chilian Campeonato Nacional,Colo-Colo
1746,Italian Serie B,Empoli
27,German 3. Bundesliga,FC Hansa Rostock
1908,Holland Eredivisie,FC Twente
252,Austrian Football Bundesliga,LASK Linz
111091,Polish T-Mobile Ekstraklasa,Lechia Gdańsk
1930,English League Two,Northampton Town
1951,English League One,Oxford United
110827,Spanish Segunda División,Real Oviedo
110975,Chilian Campeonato Nacional,Universidad Católica
1367,International,Wales
101100,Colombian Liga Postobón,Atlético Nacional
110404,Argentina Primera División,Club Atlético Banfield
101121,Mexican Liga MX,Club Necaxa
112093,Japanese J. League Division 1,Gamba Osaka
101147,Japanese J. League Division 1,Kashima Antlers
1738,French Ligue 2,Le Havre AC
1825,German 3. Bundesliga,MSV Duisburg
143,English League Two,Exeter City
167,German 3. Bundesliga,KFC Uerdingen 05
1738,French Ligue 2,Le Havre AC
1053,Campeonato Brasileiro Série A,Santos
278,Greek Super League,AEK Athens
112259,English League One,AFC Wimbledon
1903,Holland Eredivisie,FC Utrecht
320,Swedish Allsvenskan,Malmö FF
1798,English League One,Milton Keynes Dons
1375,International,Paraguay
1359,International,Scotland
1949,English League Two,Scunthorpe United
1934,English League Two,Swindon Town
567,Campeonato Brasileiro Série A,Fluminense
576,German 2. Bundesliga,Holstein Kiel
101101,Colombian Liga Postobón,Junior FC
1959,English League Two,Macclesfield Town
1884,Greek Super League,Panathinaikos FC
111400,Australian Hyundai A-League,Sydney FC
111455,International,Canada
112378,Chinese Super League,Dalian YiFang FC
1788,Danish Superliga,FC Nordsjælland
113180,Romanian Liga I,FC Viitorul
256,Austrian Football Bundesliga,FK Austria Wien
100325,Finnish Veikkausliiga,HJK Helsinki
110482,German 3. Bundesliga,Hallescher FC
110724,Belgian Jupiler Pro League,KV Mechelen
149,English League One,Lincoln City
111399,Australian Hyundai A-League,Perth Glory
1928,English League Two,Port Vale
111651,USA Major League Soccer,Toronto FC
15048,English League One,Tranmere Rovers
114023,Australian Hyundai A-League,Western United FC
1907,Holland Eredivisie,Willem II
1873,Polish T-Mobile Ekstraklasa,Wisła Kraków
1854,Spanish Segunda División,Albacete BP
1035,Campeonato Brasileiro Série A,Atlético Mineiro
110406,Argentina Primera División,Club Atlético Colón
100757,Romanian Liga I,Dinamo Bucureşti
101083,Argentina Primera División,Estudiantes de La Plata
1802,English League One,Gillingham
80,Scottish Premiership,Heart of Midlothian
1048,Campeonato Brasileiro Série A,Internacional
110745,Polish T-Mobile Ekstraklasa,Jagiellonia Białystok
111730,Japanese J. League Division 1,Kawasaki Frontale
357,English League Two,Morecambe
1352,International,Norway
744,Portuguese Liga ZON SAGRES,Rio Ave FC
1913,Holland Eredivisie,SC Heerenveen
680,Belgian Jupiler Pro League,Sint-Truidense VV
361,English League Two,Stevenage
1363,International,Sweden
15029,Chilian Campeonato Nacional,Universidad de Chile
308,Romanian Liga I,Universitatea Craiova
111487,International,Venezuela
487,German 2. Bundesliga,VfL Osnabrück
101151,Japanese J. League Division 1,Yokohama F. Marinos
112139,Saudi Abdul L. Jameel League,Al Nassr
111710,Argentina Primera División,Defensa y Justicia
112606,USA Major League Soccer,Orlando City SC
100831,Spanish Segunda División,AD Alcorcón
110065,Spanish Segunda División,CF Fuenlabrada
110890,English League Two,Crawley Town
111710,Argentina Primera División,Defensa y Justicia
710,Swedish Allsvenskan,Djurgårdens IF
110500,German 3. Bundesliga,Eintracht Braunschweig
319,Swedish Allsvenskan,IFK Göteborg
111108,International,Peru
110738,Italian Serie B,Pisa
110746,Polish T-Mobile Ekstraklasa,Pogoń Szczecin
111560,Belgian Jupiler Pro League,Royal Excel Mouscron
1357,International,Russia
127,English League One,Shrewsbury
1954,English League One,Southend United
210,French Ligue 2,Stade Malherbe Caen
1364,International,Switzerland
205,Italian Serie B,Venezia FC
614,French Ligue 2,AC Ajaccio
433,Swedish Allsvenskan,AIK
77,Scottish Premiership,Aberdeen
112387,Saudi Abdul L. Jameel League,Al Ahli
110734,Italian Serie B,Crotone
110591,German 3. Bundesliga,FC Carl Zeiss Jena
226,French Ligue 2,FC Sochaux-Montbéliard
894,Swiss Super League,FC Zürich
110592,German 3. Bundesliga,FSV Zwickau
708,Swedish Allsvenskan,Hammarby IF
112224,Australian Hyundai A-League,Melbourne City FC
110396,Argentina Primera División,Newell's Old Boys
199,Italian Serie B,Perugia
10031,Portuguese Liga ZON SAGRES,Portimonense SC
111140,USA Major League Soccer,Portland Timbers
110152,Mexican Liga MX,Puebla FC
1355,International,Republic of Ireland
2023,Spanish Segunda División,SD Ponferradina
110502,German 2. Bundesliga,SV Darmstadt 98
110597,German 3. Bundesliga,SV Meppen
110955,Chinese Super League,Shanghai Greenland Shenhua FC
101041,Turkish Süper Lig,Sivasspor
172,German 3. Bundesliga,SpVgg Unterhaching
100646,Holland Eredivisie,Sparta Rotterdam
111132,Rep. Ireland Airtricity League,UCD AFC
110645,German 3. Bundesliga,Viktoria Köln
100769,Russian Premier League,Zenit St. Petersburg
113142,Turkish Süper Lig,Alanyaspor
112516,Portuguese Liga ZON SAGRES,CD Tondela
113677,Campeonato Brasileiro Série A,CSA - AL
111465,International,Ecuador
101150,Japanese J. League Division 1,FC Tokyo
111657,Italian Serie B,Frosinone
101025,Turkish Süper Lig,Gençlerbirliği SK
112978,Chinese Super League,Hebei China Fortune FC
112162,Chinese Super League,Jiangsu Suning FC
111339,Turkish Süper Lig,Kasimpaşa SK
111397,Australian Hyundai A-League,Melbourne Victory
111659,French Ligue 2,Rodez Aveyron Football
110580,Argentina Primera División,Rosario Central
110373,Italian Serie B,US Salernitana 1919
111575,Japanese J. League Division 1,Urawa Red Diamonds
110456,French Ligue 2,Valenciennes FC
260,Spanish Segunda División,CD Tenerife
1936,English League Two,Cheltenham Town
1815,French Ligue 2,Clermont Foot 63
159,German 2. Bundesliga,DSC Arminia Bielefeld
837,Rep. Ireland Airtricity League,Dundalk
1516,Danish Superliga,FC Midtjylland
1334,International,Finland
634,Holland Eredivisie,Fortuna Sittard
101025,Turkish Süper Lig,Gençlerbirliği SK
81,Scottish Premiership,Hibernian
1477,Korean K League Classic,Jeonbuk Hyundai Motors
100081,Belgian Jupiler Pro League,KV Kortrijk
200,Italian Serie B,Pescara
298,Norwegian Eliteserien,Rosenborg BK
531,German 3. Bundesliga,SC Preußen Münster
165,German 2. Bundesliga,SpVgg Greuther Fürth
696,USA Major League Soccer,Sporting Kansas City
1933,English League One,Wycombe Wanderers
271,Danish Superliga,Aarhus GF
111768,Chinese Super League,Beijing Sinobo Guoan FC
1898,Portuguese Liga ZON SAGRES,Boavista FC
15015,English League One,Burton Albion
477,Spanish Segunda División,CD Numancia
694,USA Major League Soccer,Colorado Rapids
687,USA Major League Soccer,Columbus Crew SC
1968,Spanish Segunda División,Cádiz CF
468,Spanish Segunda División,Elche CF
112627,French Ligue 2,FC Chambly Oise
695,USA Major League Soccer,FC Dallas
506,German 2. Bundesliga,FC Erzgebirge Aue
110197,German 3. Bundesliga,FC Würzburger Kickers
110776,Turkish Süper Lig,Gazişehir Gaziantep F.K.
100634,Holland Eredivisie,Heracles Almelo
702,Swedish Allsvenskan,IFK Norrköping
111466,International,India
1739,French Ligue 2,Le Mans FC
112092,Japanese J. League Division 1,Nagoya Grampus
1955,English League One,Rochdale
15005,Belgian Jupiler Pro League,SV Zulte-Waregem
111928,USA Major League Soccer,San Jose Earthquakes
306,Rep. Ireland Airtricity League,Shamrock Rovers
111773,Chinese Super League,Shenzhen FC
110977,Chilian Campeonato Nacional,Unión Española
110588,German 3. Bundesliga,1. FC Magdeburg
111019,Argentina Primera División,Argentinos Juniors
1395,International,Cameroon
1480,English League Two,Carlisle United
112965,Argentina Primera División,Central Córdoba
111993,Italian Serie B,Cittadella
110747,Polish T-Mobile Ekstraklasa,Cracovia
111130,International,Egypt
1892,Portuguese Liga ZON SAGRES,FC Paços de Ferreira
110770,Swiss Super League,FC Sion
112429,Chinese Super League,Guangzhou R&F FC
110929,South African Premier Division,Kaizer Chiefs
111139,USA Major League Soccer,Montreal Impact
111086,Polish T-Mobile Ekstraklasa,Piast Gliwice
1905,Holland Eredivisie,RKC Waalwijk
111724,Chinese Super League,Shandong Luneng TaiShan FC
112535,Chilian Campeonato Nacional,Unión La Calera
1395,International,Cameroon
507,German 3. Bundesliga,Chemnitzer FC
693,USA Major League Soccer,Chicago Fire
142,English League One,Doncaster Rovers
1338,International,Greece
420,Polish T-Mobile Ekstraklasa,Górnik Zabrze
691,USA Major League Soccer,New England Revolution
459,Spanish Segunda División,Real Sporting de Gijón
650,Holland Eredivisie,ADO Den Haag
1823,French Ligue 2,AS Nancy Lorraine
110313,English League One,Accrington Stanley
111393,Australian Hyundai A-League,Adelaide United
101097,Chilian Campeonato Nacional,Audax Italiano
1415,International,Australia
111395,Australian Hyundai A-League,Brisbane Roar
112584,Chilian Campeonato Nacional,CD Everton de Viña del Mar
112116,Chilian Campeonato Nacional,CD O'Higgins
112124,Italian Serie B,Castellammare di Stabia
111396,Australian Hyundai A-League,Central Coast Mariners
101148,Japanese J. League Division 1,Cerezo Osaka
112670,Argentina Primera División,Club Atlético Talleres
568,Campeonato Brasileiro Série A,Cruzeiro
112260,English League One,Fleetwood Town
1888,Portuguese Liga ZON SAGRES,Gil Vicente FC
101084,Argentina Primera División,Gimnasia y Esgrima La Plata
112444,Japanese J. League Division 1,Hokkaido Consadole Sapporo
101103,Colombian Liga Postobón,Independiente Medellín
101104,Colombian Liga Postobón,Independiente Santa Fe
2013,Belgian Jupiler Pro League,KAS Eupen
101020,Turkish Süper Lig,Kayserispor
101007,Turkish Süper Lig,MKE Ankaragücü
417,Norwegian Eliteserien,Molde FK
111398,Australian Hyundai A-League,Newcastle Jets
110081,International,Northern Ireland
110930,South African Premier Division,Orlando Pirates
112134,USA Major League Soccer,Philadelphia Union
1797,English League One,Rotherham United
111379,German 3. Bundesliga,SG Sonnenhof Großaspach
492,German 2. Bundesliga,SV Wehen Wiesbaden
113160,Japanese J. League Division 1,Sagan Tosu
101149,Japanese J. League Division 1,Shimizu S-Pulse
100804,Scottish Premiership,St. Johnstone FC
112410,Italian Serie B,Trapani
110468,Czech Republic Gambrinus Liga,Viktoria Plzeň
113147,Italian Serie B,Virtus Entella
15040,Austrian Football Bundesliga,WSG Tirol
112541,Chinese Super League,Wuhan Zall
101099,Colombian Liga Postobón,América de Cali
112847,Romanian Liga I,Astra Giurgiu
101033,Turkish Süper Lig,Atiker Konyaspor
110854,Spanish Segunda División,CF Reus Deportiu
112705,Chilian Campeonato Nacional,Coquimbo Unido
112168,Italian Serie B,Cosenza
111722,Colombian Liga Postobón,Deportes Tolima
101102,Colombian Liga Postobón,Deportivo Cali
111821,Austrian Football Bundesliga,FC Admira Wacker Mödling
114147,Romanian Liga I,FC Hermannstadt
113183,Japanese J. League Division 1,Oita Trinita
113958,Italian Serie B,Pordenone
112075,Austrian Football Bundesliga,SKN St. Pölten
543,German 2. Bundesliga,SSV Jahn Regensburg
820,Danish Superliga,Aalborg BK
101033,Turkish Süper Lig,Atiker Konyaspor
305,Rep. Ireland Airtricity League,Bohemian FC
269,Danish Superliga,Brøndby IF
1327,International,Bulgaria
1457,Turkish Süper Lig,Denizlispor
294,French Ligue 2,ESTAC Troyes
1805,French Ligue 2,Grenoble Foot 38
101026,Turkish Süper Lig,Göztepe SK
432,Swedish Allsvenskan,Helsingborgs IF
1750,Belgian Jupiler Pro League,KSV Cercle Brugge
682,Belgian Jupiler Pro League,KV Oostende
1844,Italian Serie B,Livorno
1914,Holland Eredivisie,PEC Zwolle
1843,Italian Serie B,Palermo
15009,Austrian Football Bundesliga,SCR Altach
423,Rep. Ireland Airtricity League,St. Patrick's Athletic
983,Korean K League Classic,Suwon Samsung Bluewings
1473,Korean K League Classic,Ulsan Hyundai FC
607,Saudi Abdul L. Jameel League,Al Ittihad
741,Turkish Süper Lig,Antalyaspor
1847,Italian Serie B,Ascoli
111327,Chilian Campeonato Nacional,CD Huachipato
110831,Spanish Segunda División,CD Lugo
1330,International,Czech Republic
1445,Danish Superliga,Esbjerg fB
112218,Russian Premier League,FC Krasnodar
898,Swiss Super League,FC St. Gallen
1043,Campeonato Brasileiro Série A,Flamengo
1832,German 2. Bundesliga,Karlsruher SC
82,Scottish Premiership,Kilmarnock
83,Scottish Premiership,Motherwell
110227,Russian Premier League,Rubin Kazan
110169,German 3. Bundesliga,SC Fortuna Köln
1785,Austrian Football Bundesliga,SV Mattersburg
1361,International,Slovenia
670,Belgian Jupiler Pro League,Sporting de Charleroi
111434,Italian Serie B,US Cremonese
111716,Argentina Primera División,Unión de Santa Fe
110913,Belgian Jupiler Pro League,Waasland-Beveren
111085,Polish T-Mobile Ekstraklasa,LKS Lodz
113391,Romanian Liga I,Academica Clinceni
113345,Saudi Abdul L. Jameel League,Al Adalah
1962,English League One,Bristol Rovers
112533,Chilian Campeonato Nacional,CD Antofagasta
110978,Chilian Campeonato Nacional,CD Cobresal
110069,Spanish Segunda División,CD Mirandés
111328,Chilian Campeonato Nacional,CD Palestino
112637,Romanian Liga I,Gaz Metan Mediaş
1341,International,Iceland
101144,Japanese J. League Division 1,Júbilo Iwata
111083,Polish T-Mobile Ekstraklasa,Korona Kielce
113158,Japanese J. League Division 1,Matsumoto Yamaga
111138,USA Major League Soccer,Minnesota United FC
111473,International,New Zealand
1937,English League Two,Notts County
110178,German 2. Bundesliga,SV Sandhausen
112836,Japanese J. League Division 1,Vegalta Sendai
1569,Polish T-Mobile Ekstraklasa,Wisła Płock
1039,Campeonato Brasileiro Série A,Club Athletico Paranaense
445,Rep. Ireland Airtricity League,Derry City
469,Spanish Segunda División,Extremadura UD
1341,International,Iceland
272,Danish Superliga,Odense Boldklub
631,Scottish Premiership,Ross County FC
270,Danish Superliga,Silkeborg IF
418,Norwegian Eliteserien,Tromsø IL
920,Norwegian Eliteserien,Vålerenga Fotball
1446,Danish Superliga,AC Horsens
112171,Swedish Allsvenskan,AFC Eskilstuna
113948,French Ligue 2,AS Béziers
111708,Argentina Primera División,Atlético Tucumán
711,Swedish Allsvenskan,BK Häcken
111451,International,Bolivia
517,Campeonato Brasileiro Série A,Botafogo
838,Rep. Ireland Airtricity League,Bray Wanderers
1891,Portuguese Liga ZON SAGRES,CD Nacional
112534,Chilian Campeonato Nacional,CD Universidad de Concepción
110066,Spanish Segunda División,CF Rayo Majadahonda
113387,Romanian Liga I,Chindia Târgovişte
112165,Chinese Super League,Chongqing Dangdai Lifan FC SWM Team
111723,Colombian Liga Postobón,Deportivo Pasto
100766,Russian Premier League,FC Anzhi Makhachkala
110752,Romanian Liga I,FC Botoşani
100628,Holland Eredivisie,FC Emmen
10032,Swiss Super League,FC Lugano
897,Swiss Super League,FC Luzern
110231,Russian Premier League,FC Rostov
982,Korean K League Classic,FC Seoul
322,Swiss Super League,Grasshopper Club Zürich
111588,Korean K League Classic,Gyeongnam FC
184,Scottish Premiership,Hamilton Academical FC
112425,Danish Superliga,Hobro IK
212,French Ligue 2,La Berrichonne de Châteauroux
299,Norwegian Eliteserien,Lillestrøm SK
15001,Danish Superliga,Lyngby BK
1904,Holland Eredivisie,NAC Breda
1786,Danish Superliga,Randers FC
113157,Japanese J. League Division 1,Sanfrecce Hiroshima
1438,Portuguese Liga ZON SAGRES,Santa Clara
111099,International,South Africa
110741,Italian Serie B,Spezia
100805,Scottish Premiership,St. Mirren
1447,Danish Superliga,SønderjyskE
2017,Austrian Football Bundesliga,TSV Hartberg
112983,Chinese Super League,Tianjin Quanjian FC
100651,Holland Eredivisie,VVV-Venlo
753,Rep. Ireland Airtricity League,Waterford FC
113259,Turkish Süper Lig,Yeni Malatyaspor
101037,Turkish Süper Lig,Çaykur Rizespor
705,Swedish Allsvenskan,Örebro SK
113173,Swedish Allsvenskan,Östersunds FK
112537,Chinese Super League,Beijing Renhe FC
112510,Polish T-Mobile Ekstraklasa,Bruk-Bet Termalica Nieciecza
112655,Chilian Campeonato Nacional,Curicó Unido
112531,Chilian Campeonato Nacional,Deportes Iquique
113182,Romanian Liga I,FC Voluntari
113458,Swedish Allsvenskan,IK Sirius
114326,Polish T-Mobile Ekstraklasa,Raków Częstochowa
110401,Turkish Süper Lig,Adanaspor
111674,Saudi Abdul L. Jameel League,Al Shabab
112408,Saudi Abdul L. Jameel League,Al Wehda
112001,Campeonato Brasileiro Série A,América FC (Minas Gerais)
111082,Polish T-Mobile Ekstraklasa,Arka Gdynia
110394,Argentina Primera División,Arsenal de Sarandí
1598,Campeonato Brasileiro Série A,Bahia
1848,Italian Serie B,Bari
112510,Polish T-Mobile Ekstraklasa,Bruk-Bet Termalica Nieciecza
666,Portuguese Liga ZON SAGRES,CD Aves
10019,Portuguese Liga ZON SAGRES,CD Feirense
112409,Italian Serie B,Carpi
111059,Campeonato Brasileiro Série A,Ceará Sporting Club
1813,French Ligue 2,Chamois Niortais Football Club
111711,Argentina Primera División,Club Atlético Huracán
1893,Portuguese Liga ZON SAGRES,Clube Sport Marítimo
422,Rep. Ireland Airtricity League,Cork City
1867,Spanish Segunda División,Córdoba CF
111721,Colombian Liga Postobón,Cúcuta Deportivo
2056,Korean K League Classic,Daegu FC
1572,Rep. Ireland Airtricity League,Drogheda United
